human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,P36081,yeast,dietary,87,0.9301,0.925,337,388,63.0,86.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,O23006,arabidopsis,dietary,87,0.9301,0.9223,337,346,63.0,50.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,O82256,arabidopsis,dietary,87,0.9301,0.945,337,328,63.0,122.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,Q8H0V5,arabidopsis,dietary,87,0.9301,0.9233,337,350,63.0,87.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,Q9SB80,arabidopsis,dietary,87,0.9301,0.9354,337,348,63.0,101.0
CD19,"Immunodeficiency, common variable, 3",P15391,Q5EAH9,arabidopsis,dietary,87,0.9186,0.9157,552,574,59.0,111.0
SLITRK6,Deafness and myopia,Q9H5Y7,P93755,arabidopsis,dietary,87,0.9331,0.9289,837,712,62.0,68.0
PHC1,"Microcephaly 11, primary, autosomal recessive",P78364,Q9ZUK3,arabidopsis,dietary,87,0.9196,0.9162,1000,979,74.0,60.0
TSHB,"Hypothyroidism, congenital, non-goitrous, 4",P01222,P54484,bacillus,microbial,87,0.9304,0.9194,134,138,66.0,69.0
VEZF1,"Cardiomyopathy, dilated, 1OO",Q14119,Q7XUR3,rice,dietary,87,0.9279,0.9151,517,513,80.0,153.0
VEZF1,"Cardiomyopathy, dilated, 1OO",Q14119,Q9FLF7,arabidopsis,dietary,87,0.9279,0.9269,517,441,80.0,144.0
CD70,Lymphoproliferative syndrome 3,P32970,Q12133,yeast,dietary,87,0.9343,0.9167,189,180,63.0,39.0
CD70,Lymphoproliferative syndrome 3,P32970,P9WHQ5,tuberculosis,microbial,87,0.9343,0.9281,189,227,63.0,79.0
IKZF5,Thrombocytopenia 7,Q9H5V7,Q8L5W7,arabidopsis,dietary,87,0.9347,0.9263,415,359,67.0,82.0
IKZF5,Thrombocytopenia 7,Q9H5V7,P12281,ecoli,microbial,87,0.9347,0.9396,415,407,67.0,101.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,A8MS78,arabidopsis,dietary,87,0.9365,0.9217,120,123,53.0,32.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,Q8LD26,arabidopsis,dietary,87,0.9365,0.937,120,133,53.0,71.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q5MBR6,rice,dietary,87,0.9242,0.9223,573,572,70.0,122.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,P38915,yeast,dietary,87,0.9242,0.9154,573,598,70.0,90.0
PRRT2,"Episodic kinesigenic dyskinesia 1; Convulsions, familial infantile, with paroxysmal choreoathetosis; Seizures, benign fa",Q7Z6L0,P47140,yeast,dietary,87,0.9396,0.9299,336,323,51.0,46.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,P34087,yeast,dietary,87,0.9333,0.9328,161,167,69.0,88.0
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,Q9STL5,arabidopsis,dietary,87,0.9213,0.9077,375,360,52.0,46.0
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,P24188,ecoli,microbial,87,0.9213,0.9026,375,346,52.0,68.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,P53905,yeast,dietary,87,0.9227,0.9085,115,111,51.0,45.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,F2Q9V5,arabidopsis,dietary,87,0.9252,0.9448,137,133,39.0,55.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q8GX02,arabidopsis,dietary,87,0.9252,0.9299,137,135,39.0,38.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,P54484,bacillus,microbial,87,0.9252,0.9194,137,138,39.0,69.0
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,F4JUF8,arabidopsis,dietary,87,0.9234,0.9207,230,186,44.0,38.0
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q9M203,arabidopsis,dietary,87,0.9234,0.916,230,260,44.0,78.0
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q10BU2,rice,dietary,87,0.9258,0.9339,294,229,45.0,54.0
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q7XE35,rice,dietary,87,0.9258,0.9395,294,251,45.0,49.0
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,A0A1P8B554,arabidopsis,dietary,87,0.9258,0.9207,294,256,45.0,53.0
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q93V74,arabidopsis,dietary,87,0.9258,0.9076,294,251,45.0,40.0
DEAF1,"Vulto-van Silfout-de Vries syndrome; Neurodevelopmental disorder with hypotonia, impaired expressive language, and with ",O75398,F4HWL3,arabidopsis,dietary,87,0.9329,0.9351,561,622,45.0,59.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q6Z4G8,rice,dietary,87,0.9267,0.9185,336,442,47.0,49.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q9I6G4,pseudomonas,microbial,87,0.9267,0.9205,336,317,47.0,34.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,Q0DKF0,rice,dietary,87,0.9188,0.9132,243,215,38.0,29.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,O65220,arabidopsis,dietary,87,0.9188,0.9216,243,277,38.0,51.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,Q9LU85,arabidopsis,dietary,87,0.9188,0.8987,243,238,38.0,35.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,P35694,soybean,dietary,87,0.926,0.9078,278,279,36.0,35.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,P38759,yeast,dietary,87,0.926,0.9188,278,278,36.0,58.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,Q9M0D1,arabidopsis,dietary,87,0.926,0.9087,278,273,36.0,31.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,P40949,bacillus,microbial,87,0.926,0.9088,278,249,36.0,40.0
PON1,Microvascular complications of diabetes 5,P27169,Q6Z4G8,rice,dietary,87,0.925,0.9185,351,442,40.0,49.0
PON1,Microvascular complications of diabetes 5,P27169,Q9I6G4,pseudomonas,microbial,87,0.925,0.9205,351,317,40.0,34.0
PON1,Microvascular complications of diabetes 5,P27169,P17896,bacillus,microbial,87,0.925,0.9167,351,422,40.0,47.0
ASIP,Obesity and hypopigmentation,P42127,F4JZG1,arabidopsis,dietary,87,0.9352,0.9272,128,148,35.0,41.0
ASIP,Obesity and hypopigmentation,P42127,Q8LD26,arabidopsis,dietary,87,0.9352,0.937,128,133,35.0,71.0
ASIP,Obesity and hypopigmentation,P42127,Q9ZV52,arabidopsis,dietary,87,0.9352,0.9432,128,126,35.0,38.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q04195,yeast,dietary,85,0.9315,0.9315,869,900,441.0,379.0
ENAM,Amelogenesis imperfecta 1B; Amelogenesis imperfecta 1C,Q9NRM1,Q59XA7,candida,microbial,85,0.9346,0.9213,1138,1245,404.0,548.0
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,Q9ZWC8,arabidopsis,dietary,85,0.9179,0.9217,1356,1162,292.0,265.0
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",Q00973,Q9ASQ5,arabidopsis,dietary,85,0.9536,0.9468,529,506,310.0,306.0
BTNL2,Sarcoidosis 2,Q9UIR0,P14614,rice,dietary,85,0.9287,0.9341,478,496,274.0,210.0
BTNL2,Sarcoidosis 2,Q9UIR0,Q0IQU1,rice,dietary,85,0.9287,0.9279,478,560,274.0,85.0
BTNL2,Sarcoidosis 2,Q9UIR0,Q5N7B4,rice,dietary,85,0.9287,0.9336,478,555,274.0,176.0
BTNL2,Sarcoidosis 2,Q9UIR0,O23147,arabidopsis,dietary,85,0.9287,0.9429,478,427,274.0,210.0
BTNL2,Sarcoidosis 2,Q9UIR0,P37546,bacillus,microbial,85,0.9287,0.9362,478,403,274.0,157.0
ATL3,"Neuropathy, hereditary sensory, 1F",Q6DD88,P32448,yeast,dietary,85,0.9184,0.9075,537,521,313.0,322.0
TBXT,Neural tube defects; Chordoma; Sacral agenesis with vertebral anomalies,O15178,Q5JLB5,rice,dietary,85,0.9622,0.9743,431,435,278.0,207.0
TBXT,Neural tube defects; Chordoma; Sacral agenesis with vertebral anomalies,O15178,O23147,arabidopsis,dietary,85,0.9622,0.9429,431,427,278.0,210.0
TBXT,Neural tube defects; Chordoma; Sacral agenesis with vertebral anomalies,O15178,Q9SIA8,arabidopsis,dietary,85,0.9622,0.9593,431,443,278.0,247.0
CNNM4,Jalili syndrome,Q6P4Q7,Q9SGZ5,arabidopsis,dietary,85,0.9384,0.9221,771,763,258.0,211.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q944P7,arabidopsis,dietary,85,0.9347,0.9159,563,579,296.0,251.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q9FNN2,arabidopsis,dietary,85,0.9347,0.9278,563,585,296.0,264.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,P28904,ecoli,microbial,85,0.9347,0.906,563,547,296.0,148.0
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,P37627,ecoli,microbial,85,0.9347,0.9251,563,536,296.0,280.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,P14614,rice,dietary,85,0.9375,0.9341,528,496,265.0,210.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9C519,arabidopsis,dietary,85,0.9375,0.9178,528,549,265.0,80.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9SK09,arabidopsis,dietary,85,0.9375,0.9312,528,507,265.0,164.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9SL49,arabidopsis,dietary,85,0.9375,0.9366,528,503,265.0,232.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,O06291,tuberculosis,microbial,85,0.9375,0.9139,528,524,265.0,134.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,P38439,yeast,dietary,85,0.9393,0.9306,440,460,242.0,209.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q9FJT2,arabidopsis,dietary,85,0.9393,0.9413,440,431,242.0,301.0
PDZD8,Intellectual developmental disorder with autism and dysmorphic facies,Q8NEN9,Q9SJF0,arabidopsis,dietary,85,0.9202,0.9278,1150,1014,237.0,177.0
PDZD8,Intellectual developmental disorder with autism and dysmorphic facies,Q8NEN9,Q5ALX3,candida,microbial,85,0.9202,0.9136,1150,952,237.0,314.0
DBT,Maple syrup urine disease 2,P11182,Q9LX20,arabidopsis,dietary,85,0.9341,0.9303,478,524,249.0,152.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,Q9ZQF9,arabidopsis,dietary,85,0.9302,0.9382,659,700,262.0,225.0
LRIG2,Urofacial syndrome 2,O94898,Q9SJF0,arabidopsis,dietary,85,0.9445,0.9278,1061,1014,238.0,177.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,F4J3R7,arabidopsis,dietary,85,0.9195,0.9132,615,680,193.0,162.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q8W4B1,arabidopsis,dietary,85,0.9195,0.9012,615,648,193.0,152.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q940E8,maize,dietary,85,0.9195,0.913,615,609,193.0,97.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,P06115,yeast,dietary,85,0.9228,0.9261,631,558,241.0,172.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,Q12495,yeast,dietary,85,0.9228,0.9102,631,602,241.0,84.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q10MQ0,rice,dietary,85,0.9157,0.9061,426,444,213.0,140.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q5NAY4,rice,dietary,85,0.9157,0.9073,426,469,213.0,191.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q7XQZ6,rice,dietary,85,0.9157,0.9034,426,441,213.0,187.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,E3VNM4,arabidopsis,dietary,85,0.9157,0.9206,426,456,213.0,273.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,O64732,arabidopsis,dietary,85,0.9157,0.9062,426,436,213.0,152.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9FT88,arabidopsis,dietary,85,0.9157,0.9123,426,426,213.0,161.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,P23256,ecoli,microbial,85,0.9157,0.9013,426,386,213.0,138.0
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9HVL9,pseudomonas,microbial,85,0.9157,0.9149,426,368,213.0,187.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q12446,yeast,dietary,85,0.9363,0.9136,648,629,202.0,112.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q9ZVT1,arabidopsis,dietary,85,0.9363,0.9307,648,666,202.0,276.0
SASH3,Immunodeficiency 102,O75995,O23305,arabidopsis,dietary,85,0.9403,0.9314,376,382,220.0,198.0
SASH3,Immunodeficiency 102,O75995,Q93V43,arabidopsis,dietary,85,0.9403,0.9534,376,361,220.0,205.0
SASH3,Immunodeficiency 102,O75995,Q944L3,arabidopsis,dietary,85,0.9403,0.9334,376,442,220.0,232.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,P39685,yeast,dietary,85,0.9147,0.9105,1380,1333,179.0,220.0
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,P38757,yeast,dietary,85,0.9421,0.9491,436,442,278.0,202.0
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,P38922,yeast,dietary,85,0.9421,0.9476,436,450,278.0,252.0
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,Q8VZ14,arabidopsis,dietary,85,0.9421,0.9467,436,444,278.0,152.0
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,Q9FGF8,arabidopsis,dietary,85,0.9421,0.948,436,387,278.0,207.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q42777,soybean,dietary,85,0.9225,0.9302,688,727,208.0,264.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q5NB85,rice,dietary,85,0.9225,0.9201,688,695,208.0,128.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q6L5D4,rice,dietary,85,0.9225,0.9292,688,696,208.0,160.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q9LFA6,arabidopsis,dietary,85,0.9225,0.92,688,723,208.0,152.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q9LQE3,arabidopsis,dietary,85,0.9225,0.9302,688,589,208.0,245.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q9SNB9,arabidopsis,dietary,85,0.9225,0.9241,688,549,208.0,246.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q9SR24,arabidopsis,dietary,85,0.9225,0.8996,688,646,208.0,165.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,P14736,yeast,dietary,85,0.9196,0.8929,776,750,248.0,132.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,P31384,yeast,dietary,85,0.9196,0.9229,776,833,248.0,222.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,O65479,arabidopsis,dietary,85,0.9196,0.9208,776,662,248.0,167.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q84P17,arabidopsis,dietary,85,0.9196,0.9219,776,723,248.0,215.0
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q9MAC8,arabidopsis,dietary,85,0.9196,0.9146,776,788,248.0,194.0
JPH3,Huntington disease-like 2,Q8WXH2,P33336,yeast,dietary,85,0.9294,0.9207,744,767,216.0,188.0
JPH3,Huntington disease-like 2,Q8WXH2,Q8LPQ9,arabidopsis,dietary,85,0.9294,0.9211,744,897,216.0,120.0
JPH3,Huntington disease-like 2,Q8WXH2,Q59Z29,candida,microbial,85,0.9294,0.9199,744,794,216.0,205.0
ASXL2,Shashi-Pena syndrome,Q76L83,Q5QNA6,rice,dietary,85,0.9274,0.9085,1431,1330,260.0,174.0
ASXL2,Shashi-Pena syndrome,Q76L83,Q9XER9,arabidopsis,dietary,85,0.9274,0.9159,1431,1388,260.0,223.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,P17957,soybean,dietary,85,0.9201,0.8915,413,384,217.0,163.0
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,Q6YXY2,rice,dietary,85,0.92,0.9158,1669,1664,197.0,192.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q6Z3U3,rice,dietary,85,0.9158,0.9099,902,945,165.0,130.0
MPEG1,Immunodeficiency 77,Q2M385,Q42777,soybean,dietary,85,0.9321,0.9302,712,727,172.0,264.0
MPEG1,Immunodeficiency 77,Q2M385,Q53WK1,rice,dietary,85,0.9321,0.9262,712,740,172.0,175.0
MPEG1,Immunodeficiency 77,Q2M385,Q6L5D4,rice,dietary,85,0.9321,0.9292,712,696,172.0,160.0
MPEG1,Immunodeficiency 77,Q2M385,O49328,arabidopsis,dietary,85,0.9321,0.9412,712,796,172.0,129.0
MRTFA,Immunodeficiency 66,Q969V6,Q8S983,rice,dietary,85,0.9246,0.9219,927,951,202.0,201.0
MRTFA,Immunodeficiency 66,Q969V6,Q8W234,arabidopsis,dietary,85,0.9246,0.925,927,873,202.0,211.0
HFE,Hemochromatosis 1,Q30201,Q06148,yeast,dietary,85,0.9481,0.9317,344,338,186.0,187.0
HFE,Hemochromatosis 1,Q30201,Q9HV34,pseudomonas,microbial,85,0.9481,0.9398,344,345,186.0,226.0
HFE,Hemochromatosis 1,Q30201,O31475,bacillus,microbial,85,0.9481,0.9503,344,332,186.0,152.0
GRIN2A,"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",Q12879,Q9FY48,arabidopsis,dietary,85,0.913,0.9045,1460,1621,167.0,107.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,C0LGX3,arabidopsis,dietary,85,0.9201,0.9171,1038,989,171.0,130.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,F4HTV4,arabidopsis,dietary,85,0.9201,0.9192,1038,972,171.0,128.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q9FII5,arabidopsis,dietary,85,0.9201,0.9174,1038,1037,171.0,172.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q9SCV9,arabidopsis,dietary,85,0.9201,0.9122,1038,852,171.0,145.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q9SCV5,arabidopsis,dietary,85,0.9201,0.9298,1038,822,171.0,143.0
NTN1,Mirror movements 4,O95631,Q0JGS5,rice,dietary,85,0.9589,0.9569,600,679,228.0,216.0
EPOR,"Erythrocytosis, familial, 1",P19235,Q59SN6,candida,microbial,85,0.9216,0.918,504,513,153.0,121.0
SMAD7,Colorectal cancer 3,O15105,Q6ZIK5,rice,dietary,85,0.9558,0.9495,422,390,189.0,203.0
SMAD7,Colorectal cancer 3,O15105,P38757,yeast,dietary,85,0.9558,0.9491,422,442,189.0,202.0
SMAD7,Colorectal cancer 3,O15105,Q00874,arabidopsis,dietary,85,0.9558,0.9566,422,368,189.0,217.0
SMAD7,Colorectal cancer 3,O15105,Q8RW90,arabidopsis,dietary,85,0.9558,0.9601,422,417,189.0,274.0
SMAD7,Colorectal cancer 3,O15105,Q8VZ14,arabidopsis,dietary,85,0.9558,0.9467,422,444,189.0,152.0
SMAD7,Colorectal cancer 3,O15105,Q93V43,arabidopsis,dietary,85,0.9558,0.9534,422,361,189.0,205.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q67W50,rice,dietary,85,0.9249,0.9101,627,690,173.0,196.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,P23293,yeast,dietary,85,0.9249,0.9237,627,653,173.0,168.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,P25364,yeast,dietary,85,0.9249,0.9157,627,560,173.0,205.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q5NB85,rice,dietary,85,0.923,0.9201,538,695,186.0,128.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q6ZKL8,rice,dietary,85,0.923,0.927,538,527,186.0,202.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q8S237,rice,dietary,85,0.923,0.9246,538,518,186.0,199.0
UNC5C,Alzheimer disease,O95185,Q9C5P0,arabidopsis,dietary,85,0.9244,0.9169,927,751,133.0,134.0
TLR5,Systemic lupus erythematosus 1,O60602,Q53KW9,rice,dietary,85,0.9273,0.9175,854,799,136.0,96.0
TLR5,Systemic lupus erythematosus 1,O60602,C0LGD8,arabidopsis,dietary,85,0.9273,0.9194,854,860,136.0,117.0
TLR5,Systemic lupus erythematosus 1,O60602,C0LGD7,arabidopsis,dietary,85,0.9273,0.9362,854,949,136.0,180.0
TLR5,Systemic lupus erythematosus 1,O60602,C0LGL4,arabidopsis,dietary,85,0.9273,0.925,854,876,136.0,98.0
TLR5,Systemic lupus erythematosus 1,O60602,F4I6G4,arabidopsis,dietary,85,0.9273,0.918,854,815,136.0,130.0
TLR5,Systemic lupus erythematosus 1,O60602,O81905,arabidopsis,dietary,85,0.9273,0.9222,854,846,136.0,149.0
SUN5,Spermatogenic failure 16,Q8TC36,Q0E0C6,rice,dietary,85,0.9327,0.9229,375,402,205.0,174.0
SUN5,Spermatogenic failure 16,Q8TC36,Q9LG41,rice,dietary,85,0.9327,0.9272,375,435,205.0,148.0
SUN5,Spermatogenic failure 16,Q8TC36,P38757,yeast,dietary,85,0.9327,0.9491,375,442,205.0,202.0
SUN5,Spermatogenic failure 16,Q8TC36,F4K3M6,arabidopsis,dietary,85,0.9327,0.9391,375,371,205.0,200.0
SUN5,Spermatogenic failure 16,Q8TC36,P0CH01,arabidopsis,dietary,85,0.9327,0.9178,375,368,205.0,165.0
SUN5,Spermatogenic failure 16,Q8TC36,P25856,arabidopsis,dietary,85,0.9327,0.928,375,392,205.0,161.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,Q0D9C4,rice,dietary,85,0.929,0.9309,471,488,175.0,199.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,P14904,yeast,dietary,85,0.929,0.9221,471,510,175.0,155.0
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2",O14813,P71044,bacillus,microbial,85,0.9358,0.9276,280,279,150.0,122.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q9LFA6,arabidopsis,dietary,85,0.9195,0.92,753,723,182.0,152.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q940E8,maize,dietary,85,0.9195,0.913,753,609,182.0,97.0
FAM20C,Raine syndrome,Q8IXL6,P0C0M3,rice,dietary,85,0.9289,0.9244,580,587,139.0,146.0
FAM20C,Raine syndrome,Q8IXL6,Q2QZL4,rice,dietary,85,0.9289,0.9095,580,544,139.0,155.0
FAM20C,Raine syndrome,Q8IXL6,Q5SN53,rice,dietary,85,0.9289,0.9174,580,565,139.0,172.0
FAM20C,Raine syndrome,Q8IXL6,P14904,yeast,dietary,85,0.9289,0.9221,580,510,139.0,155.0
FAM20C,Raine syndrome,Q8IXL6,P0C5B6,arabidopsis,dietary,85,0.9289,0.9191,580,546,139.0,160.0
FAM20C,Raine syndrome,Q8IXL6,Q5XV99,arabidopsis,dietary,85,0.9289,0.919,580,510,139.0,179.0
FAM20C,Raine syndrome,Q8IXL6,Q9C9Q8,arabidopsis,dietary,85,0.9289,0.9267,580,680,139.0,100.0
JAG1,"Alagille syndrome 1; Tetralogy of Fallot; Deafness, congenital heart defects, and posterior embryotoxon; Charcot-Marie-T",P78504,P93022,arabidopsis,dietary,85,0.933,0.9355,1214,1160,163.0,170.0
CHRNA4,"Epilepsy, nocturnal frontal lobe, 1",P43681,Q39817,soybean,dietary,85,0.931,0.9234,623,542,147.0,141.0
CHRNA4,"Epilepsy, nocturnal frontal lobe, 1",P43681,A8R7E6,arabidopsis,dietary,85,0.931,0.9265,623,613,147.0,179.0
